PREDICTIONS,LABEL,SIGMOIDED_PRED,PRIMARY_ID,decile,label_bins
1.9329635,0,0.8735770707773581,416,9,9
0.2892809,0,0.5718200741370776,132,7,6
1.4900365,1,0.816083749103247,764,8,9
0.81489766,1,0.6931521820759488,20,8,7
-2.3023386,0,0.09092946427210345,174,1,1
-2.9281092,0,0.050781390600781545,245,1,1
1.569847,0,0.8277617940624364,885,9,9
-0.8784728,1,0.293494351157373,24,4,3
-1.1463485,0,0.24115668062788906,279,4,3
-3.616838,0,0.026164522669523627,443,0,1
-1.5232008,1,0.17899067612053934,400,3,2
1.6578486,0,0.839948991303186,422,9,9
0.054980278,0,0.5137416081316123,58,6,6
3.01782,1,0.953372707999161,99,9,10
-2.1054487,1,0.10856836107454446,349,2,2
0.2749864,0,0.5683166435935094,263,7,6
-0.71196866,1,0.32916398423575777,292,5,4
3.0885224,0,0.9564168161704205,737,9,10
-3.290309,0,0.035905149664582144,676,0,1
1.8635024,0,0.8657046572781901,726,9,9
1.4016321,1,0.8024427457830781,126,8,9
-3.2411919,1,0.03764468837455697,505,0,1
0.20151472,1,0.550208887472295,227,7,6
1.4159647,1,0.8047050326758362,644,8,9
-3.198841,0,0.03920935774200025,327,0,1
-2.2325392,1,0.09686627815915284,357,2,1
-3.0325108,0,0.045978568187917825,91,1,1
1.0950568,0,0.749332748265045,237,8,8
0.13954926,0,0.5348308076001176,60,6,6
-1.0360367,0,0.2619154331556079,774,4,3
3.4809513,0,0.9701408896158328,97,9,10
0.19583225,1,0.5488021979293862,778,6,6
-0.4317205,0,0.3937155681192279,598,5,4
-2.6440477,1,0.06635682310463784,540,1,1
-1.0337262,0,0.26236233760641825,169,4,3
2.6578424,0,0.9344927103639732,567,9,10
0.120470166,1,0.5300811695279447,210,6,6
-2.8165503,1,0.05643635611557669,441,1,1
-1.9788032,0,0.12144647979553909,113,2,2
-1.5254462,1,0.1786609417879621,609,3,2
-2.8497982,0,0.054691749321832794,264,1,1
-0.19304514,0,0.45188803586419524,87,6,5
0.057166576,1,0.5142877532560383,890,6,6
0.5755311,1,0.6400384713305974,572,7,7
-3.1730022,1,0.0401944323473896,371,0,1
1.487184,0,0.8156552373079541,729,8,9
0.41708708,1,0.6027860035529846,134,7,7
-3.6767411,0,0.02468075343131213,874,0,1
-1.0738132,0,0.2546785955789596,139,4,3
2.6926115,0,0.9365892525150664,247,9,10
-0.6089146,0,0.35230682894090976,274,5,4
-3.2581825,0,0.037033970385531884,637,0,1
0.8392745,0,0.6983124007219081,683,8,7
2.1458597,1,0.8952812489256218,187,9,9
0.9938121,0,0.7298402224586796,879,8,8
-0.21979332,0,0.44527181534612775,439,6,5
-0.8729651,0,0.2946377016880346,776,4,3
-2.4320254,0,0.08076297072510415,156,1,1
-0.38464737,1,0.4050064988845161,678,5,5
-0.13835311,0,0.4654667901193839,492,6,5
-1.4223833,0,0.19428822789617364,321,3,2
-2.8008132,0,0.05728024802289853,466,1,1
-4.202169,1,0.014742494305223236,582,0,1
2.3866482,0,0.9158034775446193,700,9,10
6.7876344,1,0.9988736369430965,731,9,10
0.2642877,0,0.5656900122953181,81,7,6
-0.7352085,0,0.3240527977335239,815,5,4
-3.699971,0,0.024127705156724764,594,0,1
-1.2936668,0,0.21523280686781304,878,3,3
-2.0745919,0,0.11159099463963917,314,2,2
1.7826788,1,0.8560273336035483,280,9,9
-0.74321866,0,0.3223007127063029,442,5,4
1.320826,0,0.7893191074879672,736,8,8
-2.1385748,0,0.10540369779067585,71,2,2
-2.1207426,0,0.107097040839182,412,2,2
-0.77640486,0,0.3150952383016243,483,5,4
0.5848124,0,0.6421739867753034,739,7,7
-4.929489,0,0.007178295503426465,891,0,1
-0.12672615,1,0.46836079357452576,26,6,5
-1.6235843,1,0.16471114848102023,551,3,2
-1.6456635,1,0.16169590162462646,40,3,2
0.076322556,0,0.519071382006932,15,6,6
-3.9560516,0,0.018779127183418537,794,0,1
-1.3761919,1,0.20162130103498838,284,3,3
0.039417624,1,0.5098531303770419,376,6,6
0.006028652,0,0.5015071584830314,825,6,6
-0.90576553,0,0.28786712102308676,493,4,3
1.1501601,0,0.7595401539470965,758,8,8
-2.6688778,0,0.06483497352013198,788,1,1
-3.2441523,0,0.03753758539124721,542,0,1
-0.6480026,0,0.34343978237915046,383,5,4
-1.424046,0,0.1940280757388555,545,3,2
0.89918995,0,0.7107830084614729,498,8,8
2.7497966,0,0.9399018631653114,460,9,10
-1.9600585,0,0.12346072199821741,641,2,2
0.39226222,0,0.5968271639757106,837,7,6
0.7791505,1,0.6854969953460334,497,8,7
-1.1786907,1,0.23528769857233303,856,4,3
-4.2531385,0,0.014020174821131952,364,0,1
-1.9303453,0,0.12671236590941348,656,2,2
-2.7821748,0,0.05829504995573056,95,1,1
-1.8176365,0,0.13971771719058412,767,2,2
0.34425378,1,0.5852234451045902,82,7,6
0.6864339,1,0.6651731636196616,54,7,7
-2.9693067,1,0.04883191453914657,692,1,1
-0.53766084,0,0.36873189873578505,251,5,4
-1.223942,0,0.22724346862113667,750,3,3
0.13101673,1,0.5327074099245911,586,6,6
2.9805396,0,0.9516871856016876,21,9,10
1.428216,0,0.8066231926665153,151,8,9
-0.6411164,0,0.34499422363013343,706,5,4
-3.6091568,1,0.02636095139378253,592,0,1
-1.2801425,0,0.217525960122019,689,3,3
-3.0365326,1,0.045802471934745084,157,1,1
0.56700325,0,0.638071403606325,250,7,7
-1.2791188,1,0.2177002646787338,830,3,3
-0.85327125,1,0.2987470895793271,631,4,3
-3.14658,0,0.04122624818058333,826,1,1
0.34343362,0,0.585024348072103,684,7,6
0.5678079,0,0.6382572087708414,353,7,7
-1.5335729,0,0.17747152739015454,640,3,2
-1.1613555,1,0.23842107182340613,369,4,3
-5.337117,0,0.00478669357936248,703,0,1
-2.397661,0,0.08335123315862338,261,1,1
-1.1085317,0,0.24814472387716704,220,4,3
0.83380353,1,0.6971585660360192,268,8,7
-0.78926396,0,0.3123267325287725,373,5,4
0.98515844,1,0.7281305643023132,37,8,8
-1.9935472,0,0.11988209101069086,659,2,2
-2.412079,1,0.08225623050688222,473,1,1
1.5290029,0,0.8218603804575129,176,9,9
-0.022430182,0,0.4943926897147828,73,6,5
-1.3150682,0,0.21163997920304814,294,3,3
-0.024365425,0,0.49390894506126837,215,6,5
-1.8346548,1,0.1376846862930205,752,2,2
0.20059597,0,0.5499815065972739,282,7,6
2.3978539,1,0.9166635024712222,803,9,10
-1.314322,1,0.2117645167137294,317,3,3
-0.7529943,1,0.3201692084211574,636,5,4
-1.8264322,1,0.13866384514822078,137,2,2
0.7132249,0,0.6711133501532663,375,8,7
-0.2038722,1,0.4492077541754924,633,6,5
1.9862473,0,0.8793455540769366,46,9,9
0.6270064,0,0.6518103656069083,790,7,7
-0.71507454,0,0.3284785236824954,589,5,4
-0.98802114,1,0.271303117619017,341,4,3
-1.4567907,0,0.18895867230511273,753,3,2
0.08872855,0,0.5221675953445881,849,6,6
-1.6973059,0,0.15481745535005567,352,3,2
-2.419373,1,0.0817072850331914,326,1,1
-3.5738406,0,0.027282702002168764,14,0,1
1.5480251,0,0.8246283163844721,127,9,9
-3.4730544,0,0.030088715438114238,851,0,1
1.1498942,1,0.7594915984696912,798,8,8
-2.4520369,1,0.07928972526399404,273,1,1
-1.614208,1,0.16600520984960065,444,3,2
-0.27157235,0,0.4325211258413091,186,6,5
